"S.
 No",District,Total Positive Cases as on 13.08.2020,Discharged Cases as on 13.08.2020,Active Cases as on 13.08.2020,Death Cases as on 13.08.2020
1,Ariyalur,1573,1098,460,15
2,Chengalpattu,19640,16317,2994,329
3,Chennai,113058,99806,10868,2384
4,Coimbatore,7884,5805,1923,156
5,Cuddalore,5943,3234,2644,65
6,Dharmapuri,934,779,146,9
7,Dindigul,4386,3575,727,84
8,Erode,1206,741,446,19
9,Kallakurichi,4745,3942,760,43
10,Kancheepuram,13085,10225,2694,166
11,Kanniyakumari,7050,5306,1641,103
12,Karur,928,593,319,16
13,Krishnagiri,1539,1150,366,23
14,Madurai,12515,11151,1056,308
15,Nagapattinam,1392,723,653,16
16,Namakkal,1112,819,275,18
17,Nilgiris,996,901,92,3
18,Perambalur,839,607,221,11
19,Pudukkottai,3662,2477,1138,47
20,Ramanathapuram,3840,3328,428,84
21,Ranipet,7786,6203,1520,63
22,Salem,5344,3764,1514,66
23,Sivaganga,3203,2707,424,72
24,Tenkasi,3632,2152,1419,61
25,Thanjavur,4561,3356,1146,59
26,Theni,9122,6014,3004,104
27,Thoothukudi,9730,8150,1498,82
28,Tiruchirapalli,5550,4534,935,81
29,Tirunelveli,7112,5465,1541,106
30,Tirupathur,1863,1219,610,34
31,Tiruppur,1379,896,446,37
32,Tiruvallur,18477,14359,3803,315
33,Tiruvannamalai,8432,6293,2033,106
34,Tiruvarur,2146,1775,353,18
35,Vellore,7915,6577,1236,102
36,Villupuram,4906,4268,591,47
37,Virudhunagar,10849,9280,1425,144
38,Airport Surveillance (International),867,817,49,1
39,Airport Surveillance (Domestic),726,629,97,0
40,Railway Surveillance,428,424,4,0
Total,Grand Total,320355,261459,53499,5397
