S. No,District,Total Positive Cases as on 22.07.2020,Discharged cases as on 22.07.2020,Active Cases as on 22.07.2020,Death cases as on 22.07.2020
1,Ariyalur,710,574,133,3
2,Chengalpattu,10495,7761,2524,210
3,Chennai,89561,73681,13941,1939
4,Coimbatore,2539,1281,1236,22
5,Cuddalore,1991,1456,517,18
6,Dharmapuri,486,240,244,2
7,Dindigul,1826,903,901,22
8,Erode,518,391,119,8
9,Kallakurichi,2517,1831,670,16
10,Kancheepuram,5697,3051,2572,74
11,Kanniyakumari,2721,976,1725,20
12,Karur,296,182,105,9
13,Krishnagiri,520,265,243,12
14,Madurai,8705,5515,3016,174
15,Nagapattinam,480,285,194,1
16,Namakkal,395,196,197,2
17,Nilgiris,528,279,247,2
18,Perambalur,248,188,58,2
19,Pudukkottai,1186,561,608,17
20,Ramanathapuram,2692,1871,768,53
21,Ranipet,2784,1483,1281,20
22,Salem,2560,1697,844,19
23,Sivaganga,1760,842,888,30
24,Tenkasi,1344,450,891,3
25,Thanjavur,1422,642,764,16
26,Theni,2899,1554,1307,38
27,Thoothukudi,4241,1983,2232,26
28,Tiruchirapalli,2686,1331,1311,44
29,Tirunelveli,2972,1881,1079,12
30,Tirupathur,659,450,203,6
31,Tiruppur,567,285,277,5
32,Tiruvallur,10210,6293,3737,180
33,Tiruvannamalai,4444,2489,1916,39
34,Tiruvarur,1059,685,373,1
35,Vellore,4359,2880,1444,35
36,Villupuram,2501,1762,710,29
37,Virudhunagar,4287,2181,2072,34
38,Airport Surveillance (International),742,434,307,1
39,Airport Surveillance (Domestic),461,364,97,0
40,Railway Surveillance,424,410,14,0
Total,Grand Total,186492,131583,51765,3144
