"S.
 No",District,Total Positive Cases as on 04.08.2020,Discharged Cases as on 04.08.2020,Active Cases as on 04.08.2020,Death Cases as on 04.08.2020
1,Ariyalur,1094,870,217,7
2,Chengalpattu,15917,13062,2583,272
3,Chennai,104027,89969,11856,2202
4,Coimbatore,5688,3918,1685,85
5,Cuddalore,3846,2089,1720,37
6,Dharmapuri,791,683,101,7
7,Dindigul,3131,2581,493,57
8,Erode,789,607,172,10
9,Kallakurichi,4055,3012,1017,26
10,Kancheepuram,10303,7316,2859,128
11,Kanniyakumari,5435,3372,2002,61
12,Karur,602,328,264,10
13,Krishnagiri,1196,660,520,16
14,Madurai,11487,8984,2242,261
15,Nagapattinam,873,459,404,10
16,Namakkal,835,481,346,8
17,Nilgiris,863,722,139,2
18,Perambalur,547,360,181,6
19,Pudukkottai,2514,1693,791,30
20,Ramanathapuram,3449,2899,480,70
21,Ranipet,5930,4094,1796,40
22,Salem,3931,2755,1137,39
23,Sivaganga,2677,2129,496,52
24,Tenkasi,2443,1622,785,36
25,Thanjavur,3243,2347,864,32
26,Theni,6261,3498,2691,72
27,Thoothukudi,8035,6000,1977,58
28,Tiruchirapalli,4603,3106,1435,62
29,Tirunelveli,5797,3438,2298,61
30,Tirupathur,1344,824,498,22
31,Tiruppur,1000,653,331,16
32,Tiruvallur,15096,11402,3437,257
33,Tiruvannamalai,6793,4453,2267,73
34,Tiruvarur,1830,1498,323,9
35,Vellore,6526,5225,1234,67
36,Villupuram,4162,3308,816,38
37,Virudhunagar,9269,6783,2377,109
38,Airport Surveillance (International),844,690,153,1
39,Airport Surveillance (Domestic),633,470,163,0
40,Railway Surveillance,426,424,2,0
Total,Grand Total,268285,208784,55152,4349
